account-seq,bureau-code,treasury-code,account_name,account-deleted
0,00,,EXPLANATION OF ESTIMATES,N
0,SP,,GENERAL PROVISIONS,N
0,05,00-0100,"Compensation of Members, Senate",N
0,05,,Expense Allowances,N
0,05,,Representation Allowances for the Majority and Minority Leaders,N
0,05,,"Salaries, Officers and Employees",N
0,05,,Office of the Legislative Counsel of the Senate,N
0,05,00-0110,"Salaries, Officers and Employees",N
0,05,,Office of Senate Legal Counsel,N
0,05,,Payments to widows and heirs of deceased members of Congress,N
0,05,,"Expense Allowances of the Secretary of the Senate, Sergeant at Arms and Doorkeeper of the Senate, and Secretaries for the Majority and Minority of the Senate",N
0,05,00-0185,Office of the Legislative Counsel of the Senate,N
0,05,,Contingent Expenses of the Senate,N
0,05,,Expenses of the United States Senate Caucus on International Narcotics Control,N
0,05,,Secretary of the Senate,N
0,05,,Sergeant at Arms and Doorkeeper of the Senate,N
0,05,,Miscellaneous Items,N
0,05,00-0128,Inquiries and Investigations,N
0,05,,Senators' Official Personnel and Office Expense Account,N
0,05,,Official Mail Costs,N
0,05,00-0123,Miscellaneous Items,N
0,05,00-0130,Senators' Official Personnel and Office Expense Account,N
0,05,00-0126,Secretary of the Senate,N
0,05,00-0127,Sergeant at Arms and Doorkeeper of the Senate,N
0,05,00-0188,"Congressional Use of Foreign Currency, Senate",N
0,05,00-9911,Senate Items,N
0,05,00-9932,Senate Revolving Funds,N
0,05,,ADMINISTRATIVE PROVISIONS,N
0,10,00-0200,Compensation of Members and Related Administrative Expenses,N
0,10,,Salaries and Expenses,N
0,10,00-9931,House Revolving Funds,N
0,10,00-0400,Salaries and Expenses,N
0,10,00-0488,"Congressional Use of Foreign Currency, House of Representatives",N
0,10,,ADMINISTRATIVE PROVISIONS,N
0,11,00-322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,N
0,11,00-0181,Joint Economic Committee,N
0,11,00-0460,Joint Committee on Taxation,N
0,11,00-0186,Joint Congressional Committee on Inaugural Ceremonies of 2013,N
0,11,,Joint Committee on Taxation,N
0,11,00-0425,Office of the Attending Physician,N
0,11,,Office of the Attending Physician,N
0,11,00-0190,Office of Congressional Accessibility Services,N
0,11,,Office of Congressional Accessibility Services,N
0,11,,ADMINISTRATIVE PROVISIONS,N
0,13,02-0477,Salaries,N
0,13,02-0476,General Expenses,N
0,13,02-0461,Security Enhancements,N
0,13,,ADMINISTRATIVE PROVISIONS,N
0,12,09-1600,Salaries and Expenses,N
0,12,09-1450,Awards and Settlements Funds,N
0,14,08-0100,Salaries and Expenses,N
0,14,,ADMINISTRATIVE PROVISIONS,N
0,15,01-322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,N
0,15,01-0100,General Administration,N
0,15,01-0105,Capitol Building,N
0,15,01-0108,Capitol Grounds,N
0,15,01-0123,Senate Office Buildings,N
0,15,01-0127,House Office Buildings,N
0,15,01-1833,House Historic Buildings Revitalization Trust Fund,N
0,15,01-0133,Capitol Power Plant,N
0,15,01-0155,Library Buildings and Grounds,N
0,15,01-0171,Capitol Police Buildings and Grounds,N
0,15,01-0161,Capitol Visitor Center,N
0,15,01-4296,Capitol Visitor Center Revolving Fund,N
0,15,01-4518,Judiciary Office Building Development and Operations Fund,N
0,15,01-818910,Gifts and Donations,N
0,15,01-8189,Gifts and Donations,N
0,18,09-0200,Botanic Garden,N
0,18,09-8292,Gifts and Donations,N
0,18,,ADMINISTRATIVE PROVISIONS,N
0,25,03-322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,N
0,25,03-388500,Undistributed Intragovernmental Payments,N
0,25,03-517510,"Fees from Jukebox, Satellite and Cable Television for Operating Costs, Copyright Office",N
0,25,03-517520,"Interest on Investments in Public Debt Securities, Copyright Office",N
0,25,03-517530,"Fees for Digital Audio Recording Technology, Operating Costs",N
0,25,03-0101,"Salaries and Expenses, Library of Congress",N
0,25,03-0102,Copyright Office: Salaries and Expenses,N
0,25,03-0127,Congressional Research Service: Salaries and Expenses,N
0,25,03-0141,Books for the Blind and Physically Handicapped: Salaries and Expenses,N
0,25,03-0146,Furniture and Furnishings,N
0,25,03-5175,Payments to Copyright Owners,N
0,25,03-4325,Cooperative Acquisitions Program Revolving Fund,N
0,25,03-4339,Duplication Services,N
0,25,03-4346,"Gift Shop, Decimal Classification, Photo Duplication, and Related Services",N
0,25,03-4543,Fedlink Program and Federal Research Program,N
0,25,03-803110,"Contributions, Library of Congress Gift Fund",N
0,25,03-803210,"Contributions, Library of Congress Permanent Loan Account",N
0,25,03-803220,"Interest, Library of Congress Permanent Loan Account",N
0,25,03-803221,"Income from Donated Securities, Library of Congress",N
0,25,03-820810,"Deposits, Service Fees, Library of Congress",N
0,25,03-9971,Gift and Trust Fund Accounts,N
0,25,,ADMINISTRATIVE PROVISIONS,N
0,30,04-0203,Congressional Printing and Binding,N
0,30,04-0201,Office of Superintendent of Documents: Salaries and Expenses,N
0,30,04-4505,Government Printing Office Revolving Fund,N
0,35,05-0107,Salaries and Expenses,N
0,35,,ADMINISTRATIVE PROVISIONS,N
0,40,23-0100,Salaries and Expenses,N
0,40,23-811520,"Tax Court Judges Survivors Annuity, Interest and Profits on Investments",N
0,40,23-8115,Tax Court Judges Survivors Annuity Fund,N
0,45,00-550910,"Gifts, Senate Preservation Fund",N
0,45,00-550920,"Earnings on Investments, Senate Preservation Fund",N
0,45,48-554910,"Gifts and Contributions, Dwight D. Eisenhower Memorial Fund",N
0,45,48-554920,"Earnings on Investments, Dwight D. Eisenhower Memorial Fund",N
0,45,48-1550,Medicare Payment Advisory Commission,N
0,45,09-1801,Medicaid and Chip Payment and Access Commission,N
0,45,48-2973,United States-China Economic and Security Review Commission,N
0,45,48-2975,Commission on International Religious Freedom,N
0,45,09-1501,National Commission on Terrorist Attacks upon the United States,N
0,45,09-9911,Other Legislative Branch Boards and Commissions,N
0,45,48-2990,"Capital Construction, Dwight D. Eisenhower Memorial  Commission",N
0,45,48-5549,Dwight D. Eisenhower Memorial Fund,N
0,45,09-0145,Payment to Open World Leadership Center Trust Fund,N
0,45,48-2999,Commission on Review of Overseas Military Facility Structure of the United States,N
0,45,09-814810,"Gifts and Donations, Open World Leadership Center Trust Fund",N
0,45,09-814820,"Earnings on Investments, Open World Leadership Center Trust Fund",N
0,45,09-814830,"Payment from the General Fund, Open World Leadership Center Trust Fund",N
0,45,09-827510,"Payments, John C. Stennis Center for Public Service Training and Development",N
0,45,09-827520,"Interest Received by Trust Fund, J. C. Stennis Center",N
0,45,09-830010,"Coin Sale Surcharges, U.S. Capitol Preservation Commission",N
0,45,09-830020,"Interest on Investments, U.S. Capitol Preservation Commission",N
0,45,09-8275,John C. Stennis Center for Public Service Training and Development Trust Fund,N
0,45,09-8300,U.S. Capitol Preservation Commission,N
0,45,09-8148,Open World Leadership Center Trust Fund,N
0,SP,,GENERAL FUND RECEIPT ACCOUNTS,N
0,SP,,GENERAL PROVISIONS,N
0,00,10-510010,"Filing Fees, U.S. Courts, Judiciary",N
0,00,10-510110,"Fees, Registry Administration, Judiciary",N
0,00,10-511410,"Proceeds from Sale of Property, Judiciary Information Technology Fund",N
0,00,10-511430,"Advances and Reimbursements, Judiciary Information Technology Fund",N
0,00,10-811010,"Judicial Survivors Annuity, Deductions from Employees Salaries",N
0,00,10-811020,"Judicial Survivors Annuity, Interest and Profits on Investments",N
0,00,10-811040,Federal Payment to Judicial Survivors Annuities Fund,N
0,00,10-812210,"Deductions from Employee Salaries and Voluntary Contributions, Judicial Officers' Annuity",N
0,00,10-812220,"Interest and Profits on Investments, Judicial Officers' Annuity",N
0,00,10-812240,Federal Payment to Judicial Officers Retirement Fund,N
0,00,10-812410,Federal Payment to Claims Court Judges' Retirement Fund,N
0,00,10-812420,"Interest, Claims Court Judges' Retirement Fund",N
0,05,10-0100,Salaries and Expenses,N
0,05,10-0103,Care of the Building and Grounds,N
0,07,10-0510,Salaries and Expenses,N
0,15,10-0400,Salaries and Expenses,N
0,25,10-322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,N
0,25,10-0920,Salaries and Expenses,N
0,25,10-0923,Defender Services,N
0,25,10-0925,Fees of Jurors and Commissioners,N
0,25,10-0930,Court Security,N
0,25,10-5100,Judiciary Filing Fees,N
0,25,10-5101,Registry Administration,N
0,25,10-5114,Judiciary Information Technology Fund,N
0,26,10-0927,Salaries and Expenses,N
0,30,10-0928,Salaries and Expenses,N
0,35,10-0941,Payment to Judiciary Trust Funds,N
0,35,10-8122,Judicial Officers' Retirement Fund,N
0,35,10-8110,Judicial Survivors' Annuities Fund,N
0,35,10-8124,United States Court of Federal Claims Judges' Retirement Fund,N
0,39,10-0938,Salaries and Expenses,N
0,39,,ADMINISTRATIVE PROVISIONS,N
0,SP,,GENERAL FUND RECEIPT ACCOUNTS,N
0,00,12-143500,"General Fund Proprietary Interest Receipts, not Otherwise Classified",N
0,00,12-181100,National Grasslands,N
0,00,12-222100,National Forest Fund,N
0,00,12-270110,"Agriculture Credit Insurance, Negative Subsidies",N
0,00,12-270130,"Agriculture Credit Insurance, Downward Reestimates of Subsidies",N
0,00,12-270210,"Rural Electrification and Telephone Loans, Negative Subsidies",N
0,00,12-270230,"Rural Electrification and Telephone Loans, Downward Reestimates of Subsidies",N
0,00,12-270310,"Rural Water and Waste Disposal, Negative Subsidies",N
0,00,12-270330,"Rural Water and Waste Disposal, Downward Reestimates of Subsidies",N
0,00,12-270510,"Rural Community Facility, Negative Subsidies",N
0,00,12-270530,"Rural Community Facility, Downward Reestimates of Subsidies",N
0,00,12-270610,"Rural Housing Insurance, Negative Subsidies",N
0,00,12-270630,"Rural Housing Insurance, Downward Reestimates of Subsidies",N
0,00,12-270710,"Rural Business and Industry, Negative Subsidies",N
0,00,12-270730,"Rural Business and Industry, Downward Reestimates of Subsidies",N
0,00,12-270830,"P.L. 480 Loan Program, Downward Reestimates of Subsidies",N
0,00,12-271030,"Rural Development Loans, Downward Reestimates of Subsidies",N
0,00,12-271130,"Rural Telephone Bank Loans, Downward Reestimates of Subsidies",N
0,00,12-271330,"Economic Development Loans, Downward Reestimates of Subsidies",N
0,00,12-271430,"Agricultural Resource Conservation, Downward Reestimates of Subsidies",N
0,00,12-274630,"Downward Reestimates, Distance Learning, Telemedicine, and Broadband Program",N
0,00,12-275430,"Apple Loan Program, Downward Reestimates of Subsidies",N
