agency-seq,bureau-code,bureau-name
1,00,Detailed Budget Estimates
2,SP,TITLE VII—General Provisions Government-Wide
3,05,Senate
3,10,House of Representatives
3,11,Joint Items
3,13,Capitol Police
3,12,Office of Compliance
3,14,Congressional Budget Office
3,15,Architect of the Capitol
3,18,Botanic Garden
3,25,Library of Congress
3,30,Government Printing Office
3,35,Government Accountability Office
3,40,United States Tax Court
3,45,Legislative Branch Boards and Commissions
3,SP,
4,00,Judicial Branch
4,05,Supreme Court of the United States
4,07,United States Court of Appeals for the Federal Circuit
4,15,United States Court of International Trade
4,25,"Courts of Appeals, District Courts, and other Judicial Services"
4,26,Administrative Office of the United States Courts
4,30,Federal Judicial Center
4,35,Judicial Retirement Funds
4,39,United States Sentencing Commission
4,SP,
5,00,Department of Agriculture
5,03,Office of the Secretary
5,04,Executive Operations
5,09,Office of Chief Economist
5,11,National Appeals Division
5,07,Office of Civil Rights
5,05,Departmental Management
5,06,Office of Communications
5,08,Office of Inspector General
5,10,Office of the General Counsel
5,13,Economic Research Service
5,15,National Agricultural Statistics Service
5,18,Agricultural Research Service
5,20,National Institute of Food and Agriculture
5,32,Animal and Plant Health Inspection Service
5,35,Food Safety and Inspection Service
5,37,"Grain Inspection, Packers and Stockyards Administration"
5,45,Agricultural Marketing Service
5,47,Risk Management Agency
5,49,Farm Service Agency
5,53,Natural Resources Conservation Service
5,55,Rural Development
5,63,Rural Housing Service
5,65,Rural Business—Cooperative Service
5,60,Rural Utilities Service
5,68,Foreign Agricultural Service
5,84,Food and Nutrition Service
5,96,Forest Service
5,SP,
6,00,Department of Commerce
6,05,Departmental Management
6,06,Economic Development Administration
6,07,Bureau of the Census
6,08,Economic and Statistical Analysis
6,25,International Trade Administration
6,30,Bureau of Industry and Security
6,40,Minority Business Development Agency
6,48,National Oceanic and Atmospheric Administration
6,51,U.S. Patent and Trademark Office
6,54,National Technical Information Service
6,55,National Institute of Standards and Technology
6,60,National Telecommunications and Information Administration
6,SP,
7,00,Department of Defense—Military Programs
7,05,Military Personnel
7,10,Operation and Maintenance
7,12,International Reconstruction and Other Assistance
7,15,Procurement
7,20,"Research, Development, Test, and Evaluation"
7,25,Military Construction
7,30,Family Housing
7,40,Revolving and Management Funds
7,45,Allowances
7,55,Trust Funds
7,SP,
8,05,Military Personnel
8,10,Operation and Maintenance
8,15,Procurement
8,20,"Research, Development, Test, and Evaluation"
8,25,Military Construction
8,40,Revolving and Management Funds
8,45,Allowances
8,SP,
9,00,Department of State
9,05,Administration of Foreign Affairs
9,10,International Organizations and Conferences
9,25,Other
10,05,International Security Assistance
10,10,Multilateral Assistance
10,15,Agency for International Development
10,SP,
11,00,Broadcasting Board of Governors
12,00,United States Institute of Peace
13,00,Department of Education
13,10,Office of Elementary and Secondary Education
13,12,Office of Innovation and Improvement
13,15,Office of English Language Acquisition
13,20,Office of Special Education and Rehabilitative Services
13,30,Office of Vocational and Adult Education
13,40,Office of Postsecondary Education
13,45,Office of Federal Student Aid
13,50,Institute of Education Sciences
13,80,Departmental Management
13,85,Hurricane Education Recovery
13,SP,
14,00,Department of Energy
14,05,National Nuclear Security Administration
14,10,Environmental and Other Defense Activities
14,20,Energy Programs
14,50,Power Marketing Administration
14,60,Departmental Administration
14,SP,
15,00,Department of Health and Human Services
15,10,Food and Drug Administration
15,15,Health Resources and Services Administration
15,17,Indian Health Service
15,20,Centers for Disease Control and Prevention
15,25,National Institutes of Health
15,30,Substance Abuse and Mental Health Services Administration
15,33,Agency for Healthcare Research and Quality
15,38,Centers for Medicare and Medicaid Services
15,70,Administration for Children and Families
15,75,Administration on Aging
15,90,Departmental Management
15,91,Program Support Center
15,92,Office of the Inspector General
15,95,Allowances
15,SP,
16,00,Department of Homeland Security
16,10,Departmental Management and Operations
16,20,Office of the Inspector General
16,30,Citizenship and Immigration Services
16,40,United States Secret Service
16,45,Transportation Security Administration
16,49,Federal Law Enforcement Training Center
16,55,Immigration and Customs Enforcement
16,58,Customs and Border Protection
16,60,United States Coast Guard
16,65,National Protection and Programs Directorate
16,70,Federal Emergency Management Agency
16,80,Science and Technology
16,85,Domestic Nuclear Detection Office
16,90,Information Analysis and Infrastructure Protection
16,SP,
17,00,Department of Housing and Urban Development
17,03,Public and Indian Housing Programs
17,06,Community Planning and Development
17,09,Housing Programs
17,12,Government National Mortgage Association
17,28,Policy Development and Research
17,29,Fair Housing and Equal Opportunity
17,32,Office of Lead Hazard Control and Healthy Homes
17,33,Office of Sustainable Housing and Communities
17,35,Management and Administration
17,SP,
18,00,Department of the Interior
18,04,Bureau of Land Management
